work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,"Mid level","Full time","Data Scientist",118273,USD,118273,US,0,US,Medium
2025,"Mid level","Full time","Data Scientist",87419,USD,87419,US,0,US,Medium
2025,"Senior level","Full time","Data Scientist",173296,USD,173296,US,0,US,Medium
2025,"Senior level","Full time","Data Scientist",103978,USD,103978,US,0,US,Medium
2025,"Senior level","Full time","Data Scientist",201783,USD,201783,US,0,US,Medium
2025,"Senior level","Full time","Data Scientist",146751,USD,146751,US,0,US,Medium
2025,"Entry level","Full time","Data Governance Analyst",101475,USD,101475,US,0,US,Medium
2025,"Entry level","Full time","Data Governance Analyst",64575,USD,64575,US,0,US,Medium
2025,"Mid level","Full time",Manager,197280,USD,197280,CA,0,CA,Medium
2025,"Mid level","Full time",Manager,118368,USD,118368,CA,0,CA,Medium
2025,"Mid level","Full time",Developer,65025,USD,65025,US,0,US,Medium
2025,"Mid level","Full time",Engineer,167575,USD,167575,US,100,US,Medium
2025,"Mid level","Full time",Engineer,111717,USD,111717,US,100,US,Medium
2025,"Senior level","Full time",Engineer,600593,USD,600593,US,0,US,Medium
2025,"Entry level","Full time",Associate,75774,USD,75774,US,0,US,Medium
2025,"Entry level","Full time",Associate,62645,USD,62645,US,0,US,Medium
2025,"Senior level","Full time","Data Analyst",123075,USD,123075,US,100,US,Medium
2025,"Senior level","Full time","Data Analyst",86155,USD,86155,US,100,US,Medium
2025,"Mid level","Full time","Data Scientist",161866,USD,161866,US,0,US,Medium
2025,"Mid level","Full time","Data Scientist",102419,USD,102419,US,0,US,Medium
2025,"Senior level","Full time","Solutions Architect",200143,USD,200143,US,0,US,Medium
2025,"Senior level","Full time","Solutions Architect",150143,USD,150143,US,0,US,Medium
2025,"Senior level","Full time","Data Engineer",215900,USD,215900,US,0,US,Medium
2025,"Senior level","Full time",Engineer,431250,USD,431250,US,100,US,Medium
2025,"Mid level","Full time","Data Manager",54200,USD,54200,US,0,US,Medium
2025,"Expert Level","Full time",Engineer,273800,USD,273800,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",91600,USD,91600,US,0,US,Medium
2025,"Expert Level","Full time","Data Governance",314960,USD,314960,US,0,US,Medium
2025,"Senior level","Full time","Data Scientist",129900,USD,129900,US,0,US,Medium
2025,"Mid level","Full time","Data Analyst",40500,USD,40500,US,0,US,Medium
2025,"Entry level","Part Time","Research Assistant",34700,USD,34700,CA,0,CA,Medium
2025,"Senior level","Full time",Engineer,161158,USD,161158,US,0,US,Medium
2025,"Senior level","Full time","Solutions Architect",306280,USD,306280,US,0,US,Medium
2025,"Senior level","Full time","Solutions Architect",153140,USD,153140,US,0,US,Medium
2025,"Mid level","Full time","Data Engineer",95379,USD,95379,US,0,US,Medium
2025,"Senior level","Full time","DevOps Engineer",126160,USD,126160,US,0,US,Medium
2025,"Senior level","Full time",Architect,142025,USD,142025,US,0,US,Medium
2025,"Senior level","Full time",Architect,88675,USD,88675,US,0,US,Medium
2025,"Senior level","Full time",Manager,346200,USD,346200,US,0,US,Medium
2025,"Senior level","Full time","Machine Learning Engineer",218025,USD,218025,US,100,US,Medium
2025,"Senior level","Full time",Engineer,278738,USD,278738,US,0,US,Medium
2025,"Senior level","Full time",Engineer,203183,USD,203183,US,0,US,Medium
2025,"Senior level","Full time",Manager,161860,USD,161860,US,0,US,Medium
2025,"Senior level","Full time",Manager,124486,USD,124486,US,0,US,Medium
2025,"Senior level","Full time","Data Engineer",98770,USD,98770,US,100,US,Medium
2025,"Senior level","Full time","AI Engineer",104000,CAD,74285,CA,100,CA,Medium
2025,"Mid level","Full time","Research Associate",40750,USD,40750,US,0,US,Medium
2025,"Senior level","Full time","Solutions Architect",179850,USD,179850,US,100,US,Medium
2025,"Mid level","Full time","Machine Learning Engineer",20833,USD,20833,US,0,US,Medium
2025,"Mid level","Full time","Data Analyst",232224,USD,232224,US,0,US,Medium
2025,"Mid level","Full time",Manager,135742,USD,135742,US,0,US,Medium
2025,"Mid level","Full time","Data Management Specialist",42200,USD,42200,US,0,US,Medium
2025,"Mid level","Full time","Data Scientist",180128,USD,180128,US,0,US,Medium
2025,"Mid level","Full time",Engineer,100082,USD,100082,US,0,US,Medium
2025,"Mid level","Full time",Engineer,70058,USD,70058,US,0,US,Medium
2025,"Senior level","Full time",Engineer,184950,USD,184950,US,0,US,Medium
2025,"Entry level","Full time","Business Intelligence Analyst",960000,PHP,16371,PH,100,PH,Medium
2025,"Senior level","Full time","Data Scientist",249390,USD,249390,US,100,US,Medium
2025,"Senior level","Full time","Data Scientist",151170,USD,151170,US,100,US,Medium
2025,"Mid level","Full time","Data Scientist",107502,USD,107502,US,0,US,Medium
2025,"Mid level","Full time","Data Scientist",71668,USD,71668,US,0,US,Medium
2025,"Mid level","Full time","Data Analyst",55350,USD,55350,US,100,US,Medium
2025,"Senior level","Full time",Manager,237150,USD,237150,US,0,US,Medium
2025,"Senior level","Full time",Manager,128700,USD,128700,US,100,US,Medium
2025,"Senior level","Full time",Manager,77300,USD,77300,US,100,US,Medium
2025,"Entry level","Full time","Data Analyst",70960,USD,70960,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",47300,USD,47300,US,0,US,Medium
2025,"Expert Level","Full time","Data Engineer",146650,GBP,185632,GB,0,GB,Medium
2025,"Expert Level","Full time","Data Engineer",124653,GBP,157788,GB,0,GB,Medium
2025,"Expert Level","Full time","Director of Machine Learning",373600,USD,373600,US,0,US,Medium
2025,"Expert Level","Full time","Director of Machine Learning",193900,USD,193900,US,0,US,Medium
2025,"Senior level","Full time","Software Engineer",303600,USD,303600,US,0,US,Medium
2025,"Senior level","Full time","Machine Learning Engineer",283600,USD,283600,US,0,US,Medium
2025,"Senior level","Full time","AI Architect",218875,USD,218875,US,0,US,Medium
2025,"Senior level","Full time","Business Intelligence Analyst",247228,USD,247228,US,0,US,Medium
2025,"Senior level","Full time","Business Intelligence Analyst",120082,USD,120082,US,0,US,Medium
2025,"Mid level","Full time","Data Specialist",118103,USD,118103,US,0,US,Medium
2025,"Mid level","Full time","Data Specialist",78735,USD,78735,US,0,US,Medium
2025,"Senior level","Full time","Data Analyst",94057,USD,94057,US,0,US,Medium
2025,"Senior level","Full time","Data Analyst",66206,USD,66206,US,0,US,Medium
2025,"Senior level","Full time","Data Scientist",111996,USD,111996,US,0,US,Medium
2025,"Senior level","Full time","Software Engineer",176790,USD,176790,US,0,US,Medium
2025,"Senior level","Full time","Software Engineer",121924,USD,121924,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",98865,USD,98865,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",61892,USD,61892,US,0,US,Medium
2025,"Senior level","Full time","Data Architect",268056,USD,268056,US,0,US,Medium
2025,"Senior level","Full time","Data Architect",150552,USD,150552,US,0,US,Medium
2025,"Mid level","Full time",Manager,170863,USD,170863,US,0,US,Medium
2025,"Mid level","Full time",Manager,113909,USD,113909,US,0,US,Medium
2025,"Senior level","Full time",Engineer,86634,USD,86634,US,0,US,Medium
2025,"Senior level","Full time","Data Visualization Engineer",73100,USD,73100,US,0,US,Medium
2025,"Mid level","Full time","Data Engineer",106899,USD,106899,US,0,US,Medium
2025,"Mid level","Full time","Data Engineer",71266,USD,71266,US,0,US,Medium
2025,"Senior level","Full time","Data Analyst",101880,USD,101880,US,100,US,Medium
2025,"Senior level","Full time",Engineer,169340,USD,169340,US,100,US,Medium
2025,"Senior level","Full time",Engineer,105860,USD,105860,US,100,US,Medium
2025,"Senior level","Full time","Data Architect",242300,USD,242300,US,0,US,Medium
2025,"Expert Level","Full time",Manager,218760,USD,218760,US,0,US,Medium
2025,"Expert Level","Full time",Manager,145840,USD,145840,US,0,US,Medium
2025,"Senior level","Full time",Associate,76840,USD,76840,US,0,US,Medium
